#1	
double	presence(8760,2)
5594400	0.517
5598000	0.69
5601600	0.759
5605200	0.793
5608800	0.793
5612400	0.966
5616000	1
5619600	1
5623200	1
5626800	1
5630400	1
5634000	1
5637600	0.862
5641200	0.621
5644800	0.483
5648400	0.172
5652000	0.207
5655600	0.172
5659200	0.345
5662800	0.517
5666400	0.345
5670000	0.379
5673600	0.345
5677200	0.448
5680800	0.483
5684400	0.69
5688000	0.862
5691600	0.862
5695200	1
5698800	1
5702400	1
5706000	1
5709600	1
5713200	1
5716800	1
5720400	1
5724000	0.862
5727600	0.621
5731200	0.483
5734800	0.172
5738400	0.207
5742000	0.172
5745600	0.345
5749200	0.517
5752800	0.345
5756400	0.379
5760000	0.345
5763600	0.448
5767200	0.483
5770800	0.69
5774400	0.862
5778000	0.862
5781600	1
5785200	1
5788800	1
5792400	1
5796000	1
5799600	1
5803200	1
5806800	1
5810400	0.862
5814000	0.621
5817600	0.483
5821200	0.172
5824800	0.207
5828400	0.172
5832000	0.345
5835600	0.517
5839200	0.345
5842800	0.379
5846400	0.345
5850000	0.448
5853600	0.483
5857200	0.69
5860800	0.862
5864400	0.862
5868000	1
5871600	1
5875200	1
5878800	1
5882400	1
5886000	1
5889600	1
5893200	1
5896800	0.862
5900400	0.621
5904000	0.483
5907600	0.172
5911200	0.207
5914800	0.172
5918400	0.345
5922000	0.517
5925600	0.345
5929200	0.379
5932800	0.345
5936400	0.448
5940000	0.483
5943600	0.69
5947200	0.862
5950800	0.862
5954400	1
5958000	1
5961600	1
5965200	1
5968800	1
5972400	1
5976000	1
5979600	1
5983200	0.862
5986800	0.621
5990400	0.483
5994000	0.172
5997600	0.207
6001200	0.172
6004800	0.345
6008400	0.517
6012000	0.345
6015600	0.379
6019200	0.345
6022800	0.448
6026400	0.483
6030000	0.69
6033600	0.862
6037200	0.862
6040800	1
6044400	1
6048000	0.966
6051600	0.966
6055200	0.966
6058800	1
6062400	1
6066000	0.966
6069600	0.822
6073200	0.724
6076800	0.655
6080400	0.552
6084000	0.448
6087600	0.31
6091200	0.586
6094800	0.655
6098400	0.552
6102000	0.483
6105600	0.448
6109200	0.483
6112800	0.517
6116400	0.69
6120000	0.759
6123600	0.793
6127200	0.793
6130800	0.966
6134400	0.966
6138000	0.966
6141600	0.966
6145200	1
6148800	1
6152400	0.966
6156000	0.822
6159600	0.724
6163200	0.655
6166800	0.552
6170400	0.448
6174000	0.31
6177600	0.586
6181200	0.655
6184800	0.552
6188400	0.483
6192000	0.448
6195600	0.483
6199200	0.517
6202800	0.69
6206400	0.759
6210000	0.793
6213600	0.793
6217200	0.966
6220800	1
6224400	1
6228000	1
6231600	1
6235200	1
6238800	1
6242400	0.862
6246000	0.621
6249600	0.483
6253200	0.172
6256800	0.207
6260400	0.172
6264000	0.345
6267600	0.517
6271200	0.345
6274800	0.379
6278400	0.345
6282000	0.448
6285600	0.483
6289200	0.69
6292800	0.862
6296400	0.862
6300000	1
6303600	1
6307200	1
6310800	1
6314400	1
6318000	1
6321600	1
6325200	1
6328800	0.862
6332400	0.621
6336000	0.483
6339600	0.172
6343200	0.207
6346800	0.172
6350400	0.345
6354000	0.517
6357600	0.345
6361200	0.379
6364800	0.345
6368400	0.448
6372000	0.483
6375600	0.69
6379200	0.862
6382800	0.862
6386400	1
6390000	1
6393600	1
6397200	1
6400800	1
6404400	1
6408000	1
6411600	1
6415200	0.862
6418800	0.621
6422400	0.483
6426000	0.172
6429600	0.207
6433200	0.172
6436800	0.345
6440400	0.517
6444000	0.345
6447600	0.379
6451200	0.345
6454800	0.448
6458400	0.483
6462000	0.69
6465600	0.862
6469200	0.862
6472800	1
6476400	1
6480000	1
6483600	1
6487200	1
6490800	1
6494400	1
6498000	1
6501600	0.862
6505200	0.621
6508800	0.483
6512400	0.172
6516000	0.207
6519600	0.172
6523200	0.345
6526800	0.517
6530400	0.345
6534000	0.379
6537600	0.345
6541200	0.448
6544800	0.483
6548400	0.69
6552000	0.862
6555600	0.862
6559200	1
6562800	1
6566400	1
6570000	1
6573600	1
6577200	1
6580800	1
6584400	1
6588000	0.862
6591600	0.621
6595200	0.483
6598800	0.172
6602400	0.207
6606000	0.172
6609600	0.345
6613200	0.517
6616800	0.345
6620400	0.379
6624000	0.345
6627600	0.448
6631200	0.483
6634800	0.69
6638400	0.862
6642000	0.862
6645600	1
6649200	1
6652800	0.966
6656400	0.966
6660000	0.966
6663600	1
6667200	1
6670800	0.966
6674400	0.822
6678000	0.724
6681600	0.655
6685200	0.552
6688800	0.448
6692400	0.31
6696000	0.586
6699600	0.655
6703200	0.552
6706800	0.483
6710400	0.448
6714000	0.483
6717600	0.517
6721200	0.69
6724800	0.759
6728400	0.793
6732000	0.793
6735600	0.966
6739200	0.966
6742800	0.966
6746400	0.966
6750000	1
6753600	1
6757200	0.966
6760800	0.822
6764400	0.724
6768000	0.655
6771600	0.552
6775200	0.448
6778800	0.31
6782400	0.586
6786000	0.655
6789600	0.552
6793200	0.483
6796800	0.448
6800400	0.483
6804000	0.517
6807600	0.69
